anon_app_id,n_countries_observed,ADII_mean,DGI_mean,PCLR_mean,AS_mean,categories,ad_supported,offersIAP,top_grossing,downloads_bucket
app_0177,26,2856.923076923077,0.8980672105672105,0.29669833909429244,0.4461404438581483,Health & Fitness,False,True,No,100K-1M
app_0178,26,3323.1153846153848,0.8003926628926629,0.3200522770866048,0.589682899827053,Medical,False,False,No,100K-1M
app_0179,26,599.5,0.8721153846153846,0.2141923599783658,0.2952892681158067,Medical,False,False,No,1K-10K
app_0180,25,217.08,1.0,0.4376746559826106,0.382174663963709,Health & Fitness,False,True,No,10K-100K
app_0181,26,411.15384615384613,0.9450549450549451,0.3050413823533158,0.23296479763044006,Health & Fitness,False,True,No,100K-1M
app_0182,26,907.1153846153846,0.9841408591408591,0.32456489475918376,0.3934531347699966,Health & Fitness,False,True,No,100K-1M
app_0183,26,855.0,0.9298076923076923,0.32130781205556064,0.3572321352041849,Health & Fitness,False,True,No,100K-1M
app_0184,26,473.2307692307692,1.0,0.37833967642139615,0.4883140317268481,Medical,False,True,No,10K-100K
app_0185,26,1420.7307692307693,0.897821302628995,0.3106917251516315,0.5215096119320844,Health & Fitness,False,True,No,1K-10K
app_0186,26,801.8461538461538,0.7499084249084249,0.17662646942721152,0.3137004455760215,Education,False,False,No,1M-10M
app_0187,26,234.03846153846155,1.0,0.4582571094516195,0.39209736050896715,Health & Fitness,False,True,No,10K-100K
app_0188,26,227.19230769230768,1.0,0.44696198050323804,0.4113961262404308,Health & Fitness,False,False,No,100K-1M
app_0189,26,749.1153846153846,0.817032967032967,0.31836397477587675,0.5092104451225565,Health & Fitness,False,True,No,100K-1M
app_0190,26,242.42307692307693,0.8032051282051282,0.3627002914531914,0.4319407566568325,Medical,True,True,No,100K-1M
app_0191,26,1239.8461538461538,0.9074532305301536,0.35548025742686246,0.36474023339241,Health & Fitness,False,True,No,10M+
app_0192,26,401.38461538461536,0.814010989010989,0.3078517984360841,0.4202095395737025,Health & Fitness,False,True,No,10K-100K
app_0193,26,395.7307692307692,0.7946576927346158,0.509621770263408,0.4200371073059757,Health & Fitness,False,True,No,100K-1M
app_0194,26,313.2692307692308,0.8132783882783883,0.2621514019281035,0.3137978964318392,Health & Fitness,False,True,No,100K-1M
app_0195,26,228.46153846153845,0.5095238095238095,0.4199430869473226,0.338205779703085,Medical,False,False,No,1K-10K
app_0196,26,222.46153846153845,0.7392857142857143,0.4459932461920426,0.3818683433188556,Medical,False,True,No,100K-1M
app_0197,26,583.8461538461538,0.9309509934509935,0.3798020690801579,0.4129046105732223,Health & Fitness,False,True,No,100K-1M
app_0198,26,469.65384615384613,1.0,0.6659555775853778,0.2679809218312294,Health & Fitness,True,True,Yes,1M-10M
app_0199,26,355.9230769230769,0.7274725274725274,0.342489435578077,0.45707816347574604,Medical,False,False,No,1M-10M
app_0200,26,548.8076923076923,0.8672492571531033,0.38380118236171695,0.4736318877227256,Medical,False,False,Yes,1M-10M
app_0201,25,320.12,0.9933333333333333,0.3589468701663295,0.3648543495454547,Health & Fitness,False,False,Yes,1M-10M
app_0202,26,274.34615384615387,0.5247252747252747,0.2999245821401916,0.3290240230613569,Health & Fitness,False,False,No,100K-1M
app_0203,26,210.07692307692307,0.7923992673992674,0.3516630290329015,0.3574728553811402,Education,False,False,No,1M-10M
app_0204,26,329.38461538461536,0.8089896214896215,0.5441898088761542,0.3089124454180214,Health & Fitness,True,True,No,10K-100K
app_0205,15,339.46666666666664,0.9567340067340068,0.29563191304050396,0.3313982651694575,Health & Fitness,False,True,No,1K-10K
app_0206,26,311.88461538461536,0.8538003663003663,0.5255882388132866,0.3535234298759422,Lifestyle,True,True,No,10K-100K
app_0207,26,297.65384615384613,0.9285714285714286,0.4110993465789665,0.4203218351572101,Health & Fitness,True,True,No,1M-10M
app_0208,26,457.9230769230769,0.7638736263736264,0.46745923056221017,0.38357627258336674,Health & Fitness,True,True,No,100K-1M
